,dimensions,last_mse,last_loss,n_epochs
0,1,0.06343349814414978,0.06956893015415111,47
1,5,0.04631377384066582,0.05508984791788649,99
2,10,0.04124957323074341,0.05053119908304925,99
3,15,0.04232059046626091,0.05215228166668973,60
4,20,0.03681756183505058,0.04591226680798734,99
5,25,0.03615686669945717,0.04501725558904891,99
6,30,0.03649355098605156,0.04672741501572284,87
7,35,0.03377301245927811,0.04389188026494168,99
8,40,0.03219246491789818,0.041877023796451855,99
9,45,0.03341438248753548,0.04284209361735811,96
10,50,0.03332279250025749,0.04241904053599276,85
11,55,0.033187512308359146,0.04284464861167238,64
12,60,0.03224904090166092,0.04194579772809719,74
13,65,0.029392333701252937,0.03973147764484933,84
14,70,0.02880554087460041,0.039201320327342824,81
15,75,0.02894599363207817,0.039291901553564886,86
16,80,0.029788976535201073,0.04013473817959745,86
17,85,0.02939915843307972,0.039793176378341434,88
18,90,0.02943764254450798,0.03980182467940006,89
19,95,0.03032619319856167,0.039822414438141156,72
20,100,0.029684003442525864,0.04101509870366847,44
21,105,0.029254576191306114,0.03937822746786666,96
22,110,0.02856735698878765,0.038801765980872704,88
23,115,0.029207143932580948,0.0397481344481732,55
24,120,0.030405914410948753,0.04012362175482385,65
25,125,0.02670157700777054,0.03717978465113234,72
26,130,0.026767168194055557,0.03683601367346784,76
27,135,0.029008112847805023,0.039388452280074995,57
28,140,0.02903866209089756,0.039435013573854524,57
29,145,0.028598133474588394,0.038790568154543,60
30,150,0.029249584302306175,0.039255424224315806,48
31,155,0.028462907299399376,0.039013839306983544,57
32,160,0.02650401182472706,0.037342063210746075,65
33,165,0.03126966953277588,0.042293704095038964,36
34,170,0.028489917516708374,0.03917275289905832,46
35,175,0.028651181608438492,0.03839105668854206,66
36,180,0.030253686010837555,0.040298528018149926,68
37,185,0.026661695912480354,0.03774111876462368,55
38,190,0.02980220504105091,0.04025560799748339,63
39,195,0.021701103076338768,0.0329007467928719,66
40,200,0.0262659452855587,0.03686662287788188,65
41,205,0.02796158380806446,0.038244674101154855,53
42,210,0.02830367162823677,0.038784253391179635,70
43,215,0.02612421102821827,0.03730565618644369,54
44,220,0.02637213096022606,0.037040256994201784,64
45,225,0.028466127812862396,0.03879687903409309,67
46,230,0.026501931250095367,0.03763449746877589,42
47,235,0.032506413757801056,0.042113286779916034,53
48,240,0.02635093778371811,0.03606308101022497,55
49,245,0.027106914669275284,0.03792188086725296,65
50,250,0.025659916922450066,0.03627595733454887,75
51,255,0.02669643796980381,0.03803184200474556,47
52,260,0.02601030468940735,0.03679200618508014,69
53,265,0.031351491808891296,0.04147743893430588,61
54,270,0.02506101317703724,0.03589564070422599,83
55,275,0.028812730684876442,0.03930411773159149,61
56,280,0.0256735160946846,0.0367874875664711,50
57,285,0.026449983939528465,0.037357462371917484,54
58,290,0.025274068117141724,0.036568099434705494,45
59,295,0.026782173663377762,0.03694066769899206,65
60,300,0.0250395480543375,0.03629444563325415,62
61,305,0.02827846258878708,0.038583626613972036,66
62,310,0.02882266975939274,0.03883856122798108,62
63,315,0.025730237364768982,0.03736093244019975,55
64,320,0.028519047424197197,0.03866474798068087,57
65,325,0.02634323574602604,0.03727105045889286,64
66,330,0.027137435972690582,0.03818172089597012,57
67,335,0.028928810730576515,0.03909438983240026,43
68,340,0.028713185340166092,0.039379230046525916,59
69,345,0.029976990073919296,0.04134052603485736,28
70,350,0.030067287385463715,0.04126201443215634,37
71,355,0.02634716033935547,0.03781208411810246,55
72,360,0.026559941470623016,0.03706290461915605,58
73,365,0.025398563593626022,0.03646990117874551,36
74,370,0.025246739387512207,0.03685534008322878,31
75,375,0.02488456293940544,0.03608652505468815,58
76,380,0.02454475685954094,0.03583177995491535,48
77,385,0.02838054858148098,0.03941394674017074,33
78,390,0.02525981143116951,0.03631377394529099,57
79,395,0.028271568939089775,0.038976379769279604,35
80,400,0.03293542191386223,0.04316036109911635,34
81,405,0.025464624166488647,0.03682929095118604,60
82,410,0.02503865584731102,0.03642740132326775,56
83,415,0.023811068385839462,0.03577384661803854,55
84,420,0.024996373802423477,0.036449859513247265,63
85,425,0.02737324871122837,0.03898457643833566,55
86,430,0.0272377859801054,0.03820182034309874,57
87,435,0.02901117131114006,0.04080463858677986,25
88,440,0.026021242141723633,0.037353857479831006,61
89,445,0.025193868204951286,0.036462703759365896,55
90,450,0.02687998302280903,0.03778163034548151,59
91,455,0.02857225015759468,0.040114615508850586,44
92,460,0.027122201398015022,0.037919824982577184,58
93,465,0.026858601719141006,0.03805302606618151,46
94,470,0.02655283734202385,0.0376032440269247,42
95,475,0.024687837809324265,0.036406071024372225,56
96,480,0.025619739666581154,0.037358687833902685,37
97,485,0.027230678126215935,0.03902050400985048,42
98,490,0.026239925995469093,0.03748456903911652,32
99,495,0.028829321265220642,0.0406820739203311,34
100,500,0.0249961968511343,0.03626276108812779,50
101,505,0.0248953178524971,0.03640947102549228,57
102,510,0.025571158155798912,0.03641611932122961,77
103,515,0.02616061642765999,0.03760217526491652,59
104,520,0.0242012869566679,0.035576190799474716,45
105,525,0.029872599989175797,0.041174083155520416,21
106,530,0.02694985643029213,0.03793146033236321,67
107,535,0.025080792605876923,0.036379251391329664,72
